hash,category,movie_name,n_trials,n_frames_clip
mpoHL5UE5tDtz7b51b3H,Rendered,americandiner_042-1-5-70-0_54.173.97.201,2,75
JNYUnhFvI0mZbwN58E20,Rendered,swamp_124-1-11-70-0_34.239.124.192,2,75
t24nBc6mpih4DR5C/qVP,Rendered,subway_016-1-3-70-0_52.205.253.179,2,75
ubOIjeUGbsNAJqMPIDqU,Rendered,mountainlake_066-1-0-70-0_54.205.66.32,2,75
ClffawlgRfZbgKwX6zRB,Rendered,ancienttomb_100-1-4-70-0_54.209.141.225,2,75
0eP/PPhAGmbJ2peZOa/E,Rendered,ancienttomb_105-1-4-70-0_54.89.40.102,2,75
XQScwyJu53SfmLd5lO8n,Rendered,lowpolyjungle_017-1-9-70-0_54.165.28.255,1,75
idKqOhreEFb3Fw97JAw1,Rendered,mountainlake_103-1-0-70-0_54.210.37.143,1,75
8auQK9CVxwyTj6Hg0bJ2,Rendered,lowpolyjungle_068-1-9-70-0_54.196.24.32,1,75
WurBr2jbdhuzgal3Vuiq,Rendered,swamp_090-1-11-70-0_107.23.36.15,1,75
TkSt/u7PScrIMpmFEWNm,Rendered,subway_062-1-3-70-0_54.159.174.165,1,75
MFFhgqWnyIjlU7vbiQr8,Rendered,kowloon_023-1-8-70-0_54.83.154.242,1,75
urUf41ismeNtIGF+nxAc,Rendered,lowpolyjungle_087-1-9-70-0_52.205.253.179,1,75
/twd8QktplDjbhlNNKeX,Rendered,run82-ancientTomb-1-0,1,75
miVyGkl8bBv0tVzgGDb7,Rendered,templeexterior_122-1-1-70-0_54.175.147.171,1,75
FpXRQ5TBvl1trghGPd6K,Rendered,swamp_118-1-11-70-0_54.205.66.32,1,75
LjCI4Pll3vcSz7nzkPFy,Rendered,templeinterior_112-1-2-70-0_54.173.97.201,1,75
mlbvay/7tPuHDE0wPPje,Rendered,americandiner_009-1-5-70-0_54.210.37.143,1,75
65vcomET6ADsv6UBXihv,Rendered,americandiner_026-1-5-70-0_54.196.24.32,1,75
BK4ifZAKu0i5zb7s32iX,Rendered,run133-darkTemple-1-0,1,75
BuuGElC6tbzYCmJ7Kcg2,Rendered,medievalsewer_062-1-6-70-0_54.205.66.32,1,75
27+sDxOBZEqnELp7hXoV,Rendered,swamp_107-1-11-70-0_54.205.66.32,1,75
OGfb//Elfl49y4d5B76w,Rendered,lowpolyjungle_058-1-9-70-0_34.239.124.192,1,75
rBij65YVqU3B9Qc24mlK,Rendered,medievalsewer_007-1-6-70-0_52.207.221.173,1,75
0p9BorblXuxzz82XQHu2,Rendered,mountainlake_075-1-0-70-0_54.175.147.171,1,75
c/7E4U812omYgyTzYAYu,Rendered,lowpolyjungle_059-1-9-70-0_184.73.123.94,1,75
N5Sndnf+qPRjrGM7QgGF,Rendered,americandiner_108-1-5-70-0_54.162.127.170,1,75
Oc2XOtw5Oipm1LLi96hJ,Rendered,mountainlake_009-1-0-70-0_54.159.174.165,1,75
u2HYXcaNymaatDkyshCI,Rendered,run53-darkTemple-1-0,1,75
803JCktugLu5uMB8YAgY,Rendered,swamp_051-1-11-70-0_54.210.37.143,1,75
MgWnykPI1+ecKsPJY9hO,Rendered,lowpolyjungle_123-1-9-70-0_107.23.36.15,1,75
4oL5f9jDy+si19pE+Rly,Rendered,lowpolyjungle_068-1-9-70-0_54.196.24.32,1,75
g8mBumqzmUphr6YDLgYS,Rendered,ancienttomb_005-1-4-70-0_184.73.123.94,1,75
yrddsMV/BS4D9TAvymDW,Rendered,mountainlake_098-1-0-70-0_54.159.174.165,1,75
tZXJF6rRD+MAJXN4Qg/a,Rendered,swamp_113-1-11-70-0_34.239.124.192,1,75
xIG+wQDUxYpryw3f1riv,Rendered,lowpolyjungle_048-1-9-70-0_107.23.36.15,1,75
L313XjQzD6eqzIitZmbl,Rendered,subway_129-1-3-70-0_54.159.174.165,1,75
tWa5fJl/A9SwpdrLSl6a,Rendered,mountainlake_103-1-0-70-0_52.205.253.179,1,75
02NeZSA4MIluB1VMT2/j,Rendered,americandiner_123-1-5-70-0_52.205.253.179,1,75
2xwjJ6/6oYQ6Jqc5dTw1,Rendered,americandiner_015-1-5-70-0_54.165.28.255,1,75
HnH7I7b4GzK9HqCsHdYb,Rendered,americandiner_074-1-5-70-0_54.83.154.242,1,75
